"filename", "language", "C++", "CMake", "JSON", "CMake Cache", "Markdown", "Makefile", "YAML", "TypeScript", "comment", "blank", "total"
"d:\Edin\rendering\BVH.cpp", "C++", 95, 0, 0, 0, 0, 0, 0, 0, 9, 17, 121
"d:\Edin\rendering\BVH.h", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"d:\Edin\rendering\CMakeLists.txt", "CMake", 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\Edin\rendering\JSONReader.cpp", "C++", 99, 0, 0, 0, 0, 0, 0, 0, 2, 12, 113
"d:\Edin\rendering\JSONReader.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"d:\Edin\rendering\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"d:\Edin\rendering\bounds3.h", "C++", 104, 0, 0, 0, 0, 0, 0, 0, 2, 16, 122
"d:\Edin\rendering\build\.cmake\api\v1\query\client-vscode\query.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Edin\rendering\build\.cmake\api\v1\reply\cache-v2-54102041c0c1d3a286a3.json", "JSON", 0, 0, 1555, 0, 0, 0, 0, 0, 0, 1, 1556
"d:\Edin\rendering\build\.cmake\api\v1\reply\cmakeFiles-v1-5b4bcc2bcda59561872b.json", "JSON", 0, 0, 187, 0, 0, 0, 0, 0, 0, 1, 188
"d:\Edin\rendering\build\.cmake\api\v1\reply\codemodel-v2-21f2d7fb9c9dbec8ac03.json", "JSON", 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 61
"d:\Edin\rendering\build\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Edin\rendering\build\.cmake\api\v1\reply\index-2025-10-21T11-08-48-0602.json", "JSON", 0, 0, 132, 0, 0, 0, 0, 0, 0, 1, 133
"d:\Edin\rendering\build\.cmake\api\v1\reply\target-main-Debug-efe08ba2861795bba9d3.json", "JSON", 0, 0, 176, 0, 0, 0, 0, 0, 0, 1, 177
"d:\Edin\rendering\build\.cmake\api\v1\reply\toolchains-v1-e9d73b045407610d0556.json", "JSON", 0, 0, 90, 0, 0, 0, 0, 0, 0, 1, 91
